ZIPCODE,GEOID,ALAND,AWATER,INTPTLAT,INTPTLON,STATE,STATE_NAME,STATE_FIPS,source_file,state_zip_key_x,region_type,region_type_id,redfin_tableid_zip,zip_code,state,state_code,parent_metro_region,parent_metro_region_metro_code,state_county_code,redfin_county_name,redfin_table_id_county,redfin_region_type,census_city_long,census_city,state_zip_combined,redfin_table_id_city,redfin_city,Unnamed: 17,Unnamed: 18,state_zip_key_y,data_source,has_census_data,has_redfin_data,has_geometry
01001,01001,29247431.0,2127552.0,+42.0623678,-072.6257536,MA,Massachusetts,25,24757.0,MA_01001,zip code,2.0,195.0,01001,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"AGAWAM, MA",AGAWAM,2501301001.0,29590.0,"Agawam, MA",,,MA_01001,Complete data,True,True,True
01002,01002,137931891.0,4281963.0,+42.3772116,-072.4647946,MA,Massachusetts,25,24847.0,MA_01002,zip code,2.0,196.0,01002,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"AMHERST, MA",AMHERST,2501501002.0,,,,,MA_01002,Complete data,True,True,True
01003,01003,2082672.0,14001.0,+42.3918827,-072.5235844,MA,Massachusetts,25,25069.0,MA_01003,zip code,2.0,197.0,01003,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"AMHERST, MA",AMHERST,2501501003.0,,,,,MA_01003,Complete data,True,True,True
01005,01005,111859191.0,666424.0,+42.4188835,-072.1120769,MA,Massachusetts,25,24741.0,MA_01005,zip code,2.0,199.0,01005,Massachusetts,MA,"Worcester, MA",49340.0,25027.0,"Worcester County, MA",1347.0,county,"BARRE, MA",BARRE,2502701005.0,29804.0,"Barre, MA",,,MA_01005,Complete data,True,True,True
01007,01007,142111168.0,6938074.0,+42.2839351,-072.4004088,MA,Massachusetts,25,24754.0,MA_01007,zip code,2.0,200.0,01007,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"BELCHERTOWN, MA",BELCHERTOWN,2501501007.0,35620.0,"Belchertown, MA",,,MA_01007,Complete data,True,True,True
01008,01008,158472398.0,5609414.0,+42.1920235,-072.9640756,MA,Massachusetts,25,24990.0,MA_01008,zip code,2.0,201.0,01008,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"BLANDFORD, MA",BLANDFORD,2501301008.0,31653.0,"Blandford, MA",,,MA_01008,Complete data,True,True,True
01009,01009,1806483.0,0.0,+42.2113859,-072.3418086,MA,Massachusetts,25,24934.0,MA_01009,zip code,2.0,202.0,01009,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"BONDSVILLE, MA",BONDSVILLE,2501301009.0,29446.0,"Bondsville, MA",,,MA_01009,Complete data,True,True,True
01010,01010,91236290.0,1421542.0,+42.1281757,-072.2053516,MA,Massachusetts,25,24930.0,MA_01010,zip code,2.0,203.0,01010,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"BRIMFIELD, MA",BRIMFIELD,2501301010.0,29537.0,"Brimfield, MA",,,MA_01010,Complete data,True,True,True
01011,01011,84937538.0,343003.0,+42.2901276,-072.9665164,MA,Massachusetts,25,24933.0,MA_01011,zip code,2.0,204.0,01011,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"CHESTER, MA",CHESTER,2501301011.0,32043.0,"Chester, MA",,,MA_01011,Complete data,True,True,True
01012,01012,31252206.0,372019.0,+42.3754254,-072.8581917,MA,Massachusetts,25,24824.0,MA_01012,zip code,2.0,205.0,01012,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"CHESTERFIELD, MA",CHESTERFIELD,2501501012.0,29634.0,"Chesterfield, MA",,,MA_01012,Complete data,True,True,True
01013,01013,14659174.0,1512626.0,+42.1420092,-072.5954964,MA,Massachusetts,25,24991.0,MA_01013,zip code,2.0,206.0,01013,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"CHICOPEE, MA",CHICOPEE,2501301013.0,3555.0,"Chicopee, MA",,,MA_01013,Complete data,True,True,True
01020,01020,32273635.0,988428.0,+42.1726105,-072.5619195,MA,Massachusetts,25,24890.0,MA_01020,zip code,2.0,208.0,01020,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"CHICOPEE, MA",CHICOPEE,2501301020.0,3555.0,"Chicopee, MA",,,MA_01020,Complete data,True,True,True
01022,01022,12468872.0,2118.0,+42.1971867,-072.5418718,MA,Massachusetts,25,24619.0,MA_01022,zip code,2.0,210.0,01022,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"CHICOPEE, MA",CHICOPEE,2501301022.0,3555.0,"Chicopee, MA",,,MA_01022,Complete data,True,True,True
01026,01026,72654747.0,529601.0,+42.4700323,-072.9257069,MA,Massachusetts,25,24806.0,MA_01026,zip code,2.0,211.0,01026,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"CUMMINGTON, MA",CUMMINGTON,2501501026.0,29758.0,"Cummington, MA",,,MA_01026,Complete data,True,True,True
01027,01027,105120091.0,1208056.0,+42.2950079,-072.7518767,MA,Massachusetts,25,24996.0,MA_01027,zip code,2.0,212.0,01027,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"EASTHAMPTON, MA",EASTHAMPTON,2501501027.0,4982.0,"Easthampton, MA",,,MA_01027,Complete data,True,True,True
01028,01028,33466463.0,181249.0,+42.0623782,-072.4981110,MA,Massachusetts,25,25056.0,MA_01028,zip code,2.0,213.0,01028,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"EAST LONGMEADOW, MA",EAST LONGMEADOW,2501301028.0,29692.0,"East Longmeadow, MA",,,MA_01028,Complete data,True,True,True
01029,01029,25823458.0,5096491.0,+42.1762710,-073.0352919,MA,Massachusetts,25,24994.0,MA_01029,zip code,2.0,214.0,01029,Massachusetts,MA,"Pittsfield, MA",38340.0,25003.0,"Berkshire County, MA",1335.0,county,"EAST OTIS, MA",EAST OTIS,2500301029.0,,,,,MA_01029,Complete data,True,True,True
01030,01030,31155981.0,495072.0,+42.0729247,-072.6869715,MA,Massachusetts,25,24597.0,MA_01030,zip code,2.0,215.0,01030,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"FEEDING HILLS, MA",FEEDING HILLS,2501301030.0,,,,,MA_01030,Complete data,True,True,True
01031,01031,17438359.0,0.0,+42.3278092,-072.1919682,MA,Massachusetts,25,24612.0,MA_01031,zip code,2.0,216.0,01031,Massachusetts,MA,"Worcester, MA",49340.0,25027.0,"Worcester County, MA",1347.0,county,"GILBERTVILLE, MA",GILBERTVILLE,2502701031.0,,,,,MA_01031,Complete data,True,True,True
01032,01032,24991855.0,713812.0,+42.4576127,-072.8147797,MA,Massachusetts,25,24787.0,MA_01032,zip code,2.0,217.0,01032,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"GOSHEN, MA",GOSHEN,2501501032.0,29832.0,"Goshen, MA",,,MA_01032,Complete data,True,True,True
01033,01033,72025787.0,666977.0,+42.2449487,-072.5001426,MA,Massachusetts,25,24897.0,MA_01033,zip code,2.0,218.0,01033,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"GRANBY, MA",GRANBY,2501501033.0,29559.0,"Granby, MA",,,MA_01033,Complete data,True,True,True
01034,01034,175464182.0,4774426.0,+42.0939118,-072.9611031,MA,Massachusetts,25,24894.0,MA_01034,zip code,2.0,219.0,01034,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"GRANVILLE, MA",GRANVILLE,2501301034.0,29826.0,"Granville, MA",,,MA_01034,Complete data,True,True,True
01035,01035,59800323.0,3948125.0,+42.3564911,-072.5686319,MA,Massachusetts,25,24940.0,MA_01035,zip code,2.0,220.0,01035,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"HADLEY, MA",HADLEY,2501501035.0,29656.0,"Hadley, MA",,,MA_01035,Complete data,True,True,True
01036,01036,50791584.0,77618.0,+42.0711876,-072.4177176,MA,Massachusetts,25,24594.0,MA_01036,zip code,2.0,221.0,01036,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"HAMPDEN, MA",HAMPDEN,2501301036.0,29526.0,"Hampden, MA",,,MA_01036,Complete data,True,True,True
01037,01037,48111810.0,434215.0,+42.3760363,-072.1973636,MA,Massachusetts,25,24882.0,MA_01037,zip code,2.0,222.0,01037,Massachusetts,MA,"Worcester, MA",49340.0,25027.0,"Worcester County, MA",1347.0,county,"HARDWICK, MA",HARDWICK,2502701037.0,29562.0,"Hardwick, MA",,,MA_01037,Complete data,True,True,True
01038,01038,23888136.0,2239018.0,+42.3799252,-072.6040447,MA,Massachusetts,25,24997.0,MA_01038,zip code,2.0,223.0,01038,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"HATFIELD, MA",HATFIELD,2501501038.0,29717.0,"Hatfield, MA",,,MA_01038,Complete data,True,True,True
01039,01039,42712270.0,609260.0,+42.4113042,-072.6909505,MA,Massachusetts,25,24667.0,MA_01039,zip code,2.0,224.0,01039,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"HAYDENVILLE, MA",HAYDENVILLE,2501501039.0,,,,,MA_01039,Complete data,True,True,True
01040,01040,54826719.0,4226511.0,+42.2116578,-072.6424476,MA,Massachusetts,25,24620.0,MA_01040,zip code,2.0,225.0,01040,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"HOLYOKE, MA",HOLYOKE,2501301040.0,7887.0,"Holyoke, MA",,,MA_01040,Complete data,True,True,True
01050,01050,107146020.0,2581902.0,+42.2912587,-072.8748028,MA,Massachusetts,25,24756.0,MA_01050,zip code,2.0,227.0,01050,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"HUNTINGTON, MA",HUNTINGTON,2501501050.0,36125.0,"Huntington, MA",,,MA_01050,Complete data,True,True,True
01053,01053,14893903.0,229058.0,+42.3563014,-072.7135844,MA,Massachusetts,25,24810.0,MA_01053,zip code,2.0,228.0,01053,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"LEEDS, MA",LEEDS,2501501053.0,,,,,MA_01053,Complete data,True,True,True
01054,01054,59391510.0,425598.0,+42.4688984,-072.4845789,MA,Massachusetts,25,24670.0,MA_01054,zip code,2.0,229.0,01054,Massachusetts,MA,"Springfield, MA",44140.0,25011.0,"Franklin County, MA",1339.0,county,"LEVERETT, MA",LEVERETT,2501101054.0,29806.0,"Leverett, MA",,,MA_01054,Complete data,True,True,True
01056,01056,70436242.0,2958134.0,+42.1835768,-072.4578116,MA,Massachusetts,25,25060.0,MA_01056,zip code,2.0,230.0,01056,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"LUDLOW, MA",LUDLOW,2501301056.0,29816.0,"Ludlow, MA",,,MA_01056,Complete data,True,True,True
01057,01057,115364744.0,1421370.0,+42.0935962,-072.3214936,MA,Massachusetts,25,24701.0,MA_01057,zip code,2.0,231.0,01057,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"MONSON, MA",MONSON,2501301057.0,29697.0,"Monson, MA",,,MA_01057,Complete data,True,True,True
01060,01060,28146628.0,3248024.0,+42.3212513,-072.6303953,MA,Massachusetts,25,24708.0,MA_01060,zip code,2.0,233.0,01060,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"NORTHAMPTON, MA",NORTHAMPTON,2501501060.0,11816.0,"Northampton, MA",,,MA_01060,Complete data,True,True,True
01062,01062,45199186.0,416742.0,+42.3230331,-072.7017892,MA,Massachusetts,25,24998.0,MA_01062,zip code,2.0,235.0,01062,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"FLORENCE, MA",FLORENCE,2501501062.0,,,,,MA_01062,Complete data,True,True,True
01063,01063,228872.0,0.0,+42.3195836,-072.6395393,MA,Massachusetts,25,24709.0,MA_01063,,,,,,,,,,,,,,,,,,,,,Census only,True,False,True
01066,01066,3267653.0,12961.0,+42.4130387,-072.6236390,MA,Massachusetts,25,24809.0,MA_01066,zip code,2.0,237.0,01066,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"NORTH HATFIELD, MA",NORTH HATFIELD,2501501066.0,,,,,MA_01066,Complete data,True,True,True
01068,01068,56254821.0,1033076.0,+42.3538870,-072.0606845,MA,Massachusetts,25,24610.0,MA_01068,zip code,2.0,238.0,01068,Massachusetts,MA,"Worcester, MA",49340.0,25027.0,"Worcester County, MA",1347.0,county,"OAKHAM, MA",OAKHAM,2502701068.0,29783.0,"Oakham, MA",,,MA_01068,Complete data,True,True,True
01069,01069,72670133.0,836920.0,+42.1888618,-072.3064803,MA,Massachusetts,25,24893.0,MA_01069,zip code,2.0,239.0,01069,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"PALMER, MA",PALMER,2501301069.0,29753.0,"Palmer, MA",,,MA_01069,Complete data,True,True,True
01070,01070,51384243.0,596478.0,+42.5199086,-072.9253542,MA,Massachusetts,25,24763.0,MA_01070,zip code,2.0,240.0,01070,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"PLAINFIELD, MA",PLAINFIELD,2501501070.0,29825.0,"Plainfield, MA",,,MA_01070,Complete data,True,True,True
01071,01071,40656344.0,652169.0,+42.1600642,-072.8738401,MA,Massachusetts,25,24595.0,MA_01071,zip code,2.0,241.0,01071,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"RUSSELL, MA",RUSSELL,2501301071.0,36158.0,"Russell, MA",,,MA_01071,Complete data,True,True,True
01072,01072,49449913.0,653645.0,+42.4569676,-072.4172444,MA,Massachusetts,25,24676.0,MA_01072,zip code,2.0,242.0,01072,Massachusetts,MA,"Springfield, MA",44140.0,25011.0,"Franklin County, MA",1339.0,county,"SHUTESBURY, MA",SHUTESBURY,2501101072.0,29703.0,"Shutesbury, MA",,,MA_01072,Complete data,True,True,True
01073,01073,72906285.0,2082889.0,+42.2269485,-072.7415876,MA,Massachusetts,25,25065.0,MA_01073,zip code,2.0,243.0,01073,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"SOUTHAMPTON, MA",SOUTHAMPTON,2501501073.0,29643.0,"Southampton, MA",,,MA_01073,Complete data,True,True,True
01074,01074,671655.0,52379.0,+42.3808230,-072.1038954,MA,Massachusetts,25,24693.0,MA_01074,zip code,2.0,244.0,01074,Massachusetts,MA,"Worcester, MA",49340.0,25027.0,"Worcester County, MA",1347.0,county,"SOUTH BARRE, MA",SOUTH BARRE,2502701074.0,,,,,MA_01074,Complete data,True,True,True
01075,01075,45899561.0,1865237.0,+42.2565324,-072.5802475,MA,Massachusetts,25,25066.0,MA_01075,zip code,2.0,245.0,01075,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"SOUTH HADLEY, MA",SOUTH HADLEY,2501501075.0,29729.0,"South Hadley, MA",,,MA_01075,Complete data,True,True,True
01077,01077,79909721.0,2151144.0,+42.0525703,-072.7773529,MA,Massachusetts,25,25059.0,MA_01077,zip code,2.0,246.0,01077,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"SOUTHWICK, MA",SOUTHWICK,2501301077.0,29738.0,"Southwick, MA",,,MA_01077,Complete data,True,True,True
01079,01079,4163329.0,50403.0,+42.1857449,-072.3324604,MA,Massachusetts,25,24802.0,MA_01079,zip code,2.0,247.0,01079,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"THORNDIKE, MA",THORNDIKE,2501301079.0,,,,,MA_01079,Complete data,True,True,True
01080,01080,4313061.0,256694.0,+42.1857266,-072.3615579,MA,Massachusetts,25,24703.0,MA_01080,zip code,2.0,248.0,01080,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"THREE RIVERS, MA",THREE RIVERS,2501301080.0,,,,,MA_01080,Complete data,True,True,True
01081,01081,37484201.0,586926.0,+42.0613129,-072.2344109,MA,Massachusetts,25,24932.0,MA_01081,zip code,2.0,249.0,01081,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"WALES, MA",WALES,2501301081.0,29586.0,"Wales, MA",,,MA_01081,Complete data,True,True,True
01082,01082,121750407.0,19757620.0,+42.2997486,-072.2791638,MA,Massachusetts,25,24611.0,MA_01082,zip code,2.0,250.0,01082,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"WARE, MA",WARE,2501501082.0,36176.0,"Ware, MA",,,MA_01082,Complete data,True,True,True
01083,01083,33041299.0,156111.0,+42.2068396,-072.1986192,MA,Massachusetts,25,24927.0,MA_01083,zip code,2.0,251.0,01083,Massachusetts,MA,"Worcester, MA",49340.0,25027.0,"Worcester County, MA",1347.0,county,"WARREN, MA",WARREN,2502701083.0,36177.0,"Warren, MA",,,MA_01083,Complete data,True,True,True
01084,01084,21578079.0,391580.0,+42.3617237,-072.8749875,MA,Massachusetts,25,24730.0,MA_01084,zip code,2.0,252.0,01084,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"WEST CHESTERFIELD, MA",WEST CHESTERFIELD,2501501084.0,,,,,MA_01084,Complete data,True,True,True
01085,01085,154693493.0,2940611.0,+42.1535029,-072.7716020,MA,Massachusetts,25,24755.0,MA_01085,zip code,2.0,253.0,01085,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"WESTFIELD, MA",WESTFIELD,2501301085.0,19642.0,"Westfield, MA",,,MA_01085,Complete data,True,True,True
01088,01088,13607010.0,143465.0,+42.3827000,-072.6403612,MA,Massachusetts,25,24623.0,MA_01088,zip code,2.0,255.0,01088,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"WEST HATFIELD, MA",WEST HATFIELD,2501501088.0,,,,,MA_01088,Complete data,True,True,True
01089,01089,43331574.0,2089773.0,+42.1254511,-072.6497341,MA,Massachusetts,25,24935.0,MA_01089,zip code,2.0,256.0,01089,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"WEST SPRINGFIELD, MA",WEST SPRINGFIELD,2501301089.0,,,,,MA_01089,Complete data,True,True,True
01092,01092,17407745.0,80681.0,+42.1918678,-072.2351075,MA,Massachusetts,25,24699.0,MA_01092,zip code,2.0,258.0,01092,Massachusetts,MA,"Worcester, MA",49340.0,25027.0,"Worcester County, MA",1347.0,county,"WEST WARREN, MA",WEST WARREN,2502701092.0,36678.0,"West Warren, MA",,,MA_01092,Complete data,True,True,True
01093,01093,11172806.0,15740.0,+42.4452578,-072.6450580,MA,Massachusetts,25,24673.0,MA_01093,zip code,2.0,259.0,01093,Massachusetts,MA,"Springfield, MA",44140.0,25011.0,"Franklin County, MA",1339.0,county,"WHATELY, MA",WHATELY,2501101093.0,29679.0,"Whately, MA",,,MA_01093,Complete data,True,True,True
01094,01094,1863981.0,172820.0,+42.3697621,-072.1392827,MA,Massachusetts,25,24884.0,MA_01094,,,,,,,,,,,,,,,,,,,,,Census only,True,False,True
01095,01095,58246825.0,752097.0,+42.1385268,-072.4207029,MA,Massachusetts,25,24989.0,MA_01095,zip code,2.0,261.0,01095,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"WILBRAHAM, MA",WILBRAHAM,2501301095.0,29691.0,"Wilbraham, MA",,,MA_01095,Complete data,True,True,True
01096,01096,92937599.0,842508.0,+42.4105375,-072.7657697,MA,Massachusetts,25,24846.0,MA_01096,zip code,2.0,262.0,01096,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"WILLIAMSBURG, MA",WILLIAMSBURG,2501501096.0,29689.0,"Williamsburg, MA",,,MA_01096,Complete data,True,True,True
01097,01097,4507443.0,416044.0,+42.1658679,-072.8309847,MA,Massachusetts,25,24618.0,MA_01097,zip code,2.0,263.0,01097,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"WORONOCO, MA",WORONOCO,2501301097.0,,,,,MA_01097,Complete data,True,True,True
01098,01098,82585229.0,356295.0,+42.3975593,-072.9433922,MA,Massachusetts,25,24908.0,MA_01098,zip code,2.0,264.0,01098,Massachusetts,MA,"Springfield, MA",44140.0,25015.0,"Hampshire County, MA",1341.0,county,"WORTHINGTON, MA",WORTHINGTON,2501501098.0,29744.0,"Worthington, MA",,,MA_01098,Complete data,True,True,True
01103,01103,1126124.0,0.0,+42.1044180,-072.5900803,MA,Massachusetts,25,24983.0,MA_01103,zip code,2.0,267.0,01103,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"SPRINGFIELD, MA",SPRINGFIELD,2501301103.0,17155.0,"Springfield, MA",,,MA_01103,Complete data,True,True,True
01104,01104,13551122.0,385804.0,+42.1327724,-072.5674112,MA,Massachusetts,25,24982.0,MA_01104,zip code,2.0,268.0,01104,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"SPRINGFIELD, MA",SPRINGFIELD,2501301104.0,17155.0,"Springfield, MA",,,MA_01104,Complete data,True,True,True
01105,01105,3123274.0,302887.0,+42.0952455,-072.5776034,MA,Massachusetts,25,24746.0,MA_01105,zip code,2.0,269.0,01105,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"SPRINGFIELD, MA",SPRINGFIELD,2501301105.0,17155.0,"Springfield, MA",,,MA_01105,Complete data,True,True,True
01106,01106,24826538.0,1450922.0,+42.0456953,-072.5633225,MA,Massachusetts,25,24986.0,MA_01106,zip code,2.0,270.0,01106,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"LONGMEADOW, MA",LONGMEADOW,2501301106.0,29698.0,"Longmeadow, MA",,,MA_01106,Complete data,True,True,True
01107,01107,3994637.0,335468.0,+42.1210603,-072.6070681,MA,Massachusetts,25,24929.0,MA_01107,zip code,2.0,271.0,01107,Massachusetts,MA,"Springfield, MA",44140.0,25013.0,"Hampden County, MA",1340.0,county,"SPRINGFIELD, MA",SPRINGFIELD,2501301107.0,17155.0,"Springfield, MA",,,MA_01107,Complete data,True,True,True
